"GEOID","NAME","IncomeE","PopE","AgeE","HouseValueE","HouseholdSizeE","NumHouseE","BirthPlace_Born in state of res","BirthPlace_Born in other state","BirthPlace_Native; born outside","BirthPlace_Foreign born:","Industry_Agric","Industry_Const","Industry_Manuf","Industry_Whole","Industry_Retai","Industry_Trans","Industry_Infor","Industry_Finan","Industry_Profe","Industry_Educa","Industry_Arts,","Industry_Other","Industry_Publi","HouseType_Owner occupied","HouseType_Renter occupied","Race_White alone","Race_Black or African American","Race_American Indian and Alaska","Race_Asian alone","Race_Native Hawaiian and Other","Race_Some other race alone","Race_Two or more races:","geometry","AREA","NumColleges","DistToRiver","MinDistToHwy","NumHwys","AnyHwys","avg_elevation","pctWhite","incomeThousands"
"27123042102","Census Tract 421.02; Ramsey County; Minnesota",100493,5327,39.5,371300,2.76,1909,0.625117326825605,0.213253238220387,0.00901070020649521,0.152618734747513,0,0.020066889632107,0.129691564474173,0.0297287253808993,0.115942028985507,0.0390189520624303,0.0412486064659978,0.110367892976589,0.109624674842066,0.273504273504274,0.0709773318468971,0.0274990709773318,0.032329988851728,0.72027239392352,0.27972760607648,0.637319316688568,0.10155810024404,0,0.207809273512296,0,0.015017833677492,0.0382954758776047,list(list(c(2859909.20327523, 2860358.74497961, 2861128.93496374, 2861909.70267068, 2863354.3039381, 2867969.77251116, 2868637.73391281, 2868712.26191943, 2866055.61701046, 2866147.67931154, 2866176.27508027, 2865391.88574328, 2863541.50925659, 2862771.45265905, 2860909.76782822, 2860487.51066888, 2860059.52658191, 2860011.46570392, 2859999.48426157, 2859909.20327523, 1070181.45406107, 1071022.16523339, 1071436.95359185, 1071597.75081017, 1071603.08116399, 1071653.89871278, 1071660.87127136, 1068811.50988249, 
1068802.14555269, 1066153.16120866, 1062405.23652378, 1062103.50383378, 1062036.9371178, 1062042.83425467, 1062408.80308732, 1062422.68370045, 1062393.48450496, 1064712.26207855, 1066833.46002237, 1070181.45406107))),64427599.8170261,0,22325.1798472539,0,3,TRUE,271.302554027505,63.7319316688568,100.493
"27123032600","Census Tract 326; Ramsey County; Minnesota",58319,2922,31.5,183500,3.28,887,0.423682409308693,0.208761122518823,0.00650239561943874,0.361054072553046,0,0.0278796771826853,0.12472487160675,0.020542920029347,0.086573734409391,0.0410858400586941,0.00880410858400587,0.0814380044020543,0.0777696258253852,0.322083639031548,0.140865737344094,0.0513573000733676,0.0168745414526779,0.531003382187148,0.468996617812852,0.344284736481862,0.255989048596851,0.00958247775496235,0.33264887063655,0,0.0123203285420945,0.0451745379876797,list(list(c(2850785.98077625, 2850777.96072594, 2853432.73183447, 2853434.85800576, 2853448.01026865, 2853455.42010029, 2853469.6077681, 2852146.93991839, 2850824.27022253, 2850804.99577302, 2850800.43024983, 2850795.35099146, 2850785.98077625, 1044874.13075486, 1045890.9335146, 1045714.19989066, 1045493.63540891, 1044253.38406479, 1043592.06734379, 1042280.00178636, 1042258.08408982, 1042236.24907242, 1043555.18777389, 1043885.47229898, 1044215.38682141, 1044874.13075486))),9398646.5891459,0,7267.26519886027,1412.09742748429,0,FALSE,264.197183098592,34.4284736481862,58.319
"27123040708","Census Tract 407.08; Ramsey County; Minnesota",106262,4054,43.9,298000,2.18,1844,0.653675382338431,0.168722249629995,0.00370004933399112,0.173902318697583,0,0.0241675617615467,0.178839957035446,0.0241675617615467,0.125671321160043,0.037593984962406,0,0.0746509129967777,0.121911922663802,0.327067669172932,0.056390977443609,0.00805585392051558,0.0214822771213749,0.797180043383948,0.202819956616052,0.602368031573754,0.115441539220523,0.0130735076467686,0.140355204736063,0.00271336951159349,0.0313270843611248,0.0947212629501727,list(list(c(2844911.01636636, 2847621.676004, 2847972.23833762, 2848706.63085222, 2852701.38209214, 2852718.190735, 2853406.06382529, 2852151.72037087, 2852211.20932267, 2851369.01025134, 2848976.28213545, 2848959.23361824, 2845007.67305065, 2844967.2789424, 2844911.90975784, 2844911.01636636, 1087264.73325707, 1087243.22897622, 1087267.35232181, 1087345.13911479, 1087379.8826133, 1087330.47565322, 1085309.89394151, 1085310.92865044, 1085041.02122246, 1082195.22119859, 1081974.23705353, 1081973.69137278, 
1081912.40616777, 1084545.98861904, 1087203.85105722, 1087264.73325707))),38892216.8089801,0,43187.7505504135,1718.19086983939,0,FALSE,282.665615141956,60.2368031573754,106.262
"27123030702","Census Tract 307.02; Ramsey County; Minnesota",90813,6204,33.3,246100,3.41,1815,0.661025145067698,0.121856866537718,0.00112830431979368,0.21598968407479,0.0256959314775161,0.0612955032119914,0.15872591006424,0.0521948608137045,0.0864561027837259,0.0211456102783726,0.00588865096359743,0.0821734475374732,0.0591541755888651,0.254282655246253,0.130353319057816,0.020610278372591,0.0420235546038544,0.865013774104683,0.134986225895317,0.489684074790458,0.0957446808510638,0.0104771115409413,0.296260477111541,0,0.00918762088974855,0.0986460348162476,list(list(c(2876879.85079192, 2876873.49681548, 2876859.07393444, 2876844.38783567, 2879477.50379441, 2882058.8848706, 2882098.10458001, 2882099.0705449, 2881426.56509221, 2879597.50521193, 2878198.64270172, 2876886.19924562, 2876879.85079192, 1051790.47689979, 1053104.47036251, 1054422.37989509, 1055740.65244906, 1055779.87459114, 1055818.06566039, 1051851.88973554, 1051751.26776415, 1051448.11958111, 1050503.15589518, 1050489.25897149, 1050476.84951406, 1051790.47689979))),25948875.3208992,0,14767.5761999447,9419.97788272986,0,FALSE,300.784037558685,48.9684074790458,90.813
"27123037000","Census Tract 370; Ramsey County; Minnesota",90313,2738,40.4,261700,2.19,1246,0.703798392987582,0.254200146092038,0.00401753104455807,0.0379839298758218,0.00929368029739777,0.030359355638166,0.157992565055762,0.0260223048327138,0.0799256505576208,0.0384138785625774,0.0173482032218092,0.0223048327137546,0.219330855018587,0.260223048327138,0.0768277571251549,0.0353159851301115,0.0266418835192069,0.76645264847512,0.23354735152488,0.83235938641344,0.0164353542731921,0.000365230094959825,0.0252008765522279,0,0.0043827611395179,0.121256391526662,list(list(c(2850408.29037425, 2851982.38521358, 2853243.85377148, 2854857.57529489, 2856634.65182204, 2857111.96824301, 2857219.88654787, 2858335.17641391, 2858325.2901351, 2858336.66631555, 2858366.24774469, 2858380.6828497, 2858800.9214277, 2858819.87094672, 2857320.52528019, 2856278.39451003, 2854867.60062574, 2850374.77757862, 2850408.29037425, 1029095.49971095, 1030144.89434123, 1030651.05416489, 1031463.00858609, 1034043.74858364, 1033500.98431476, 1033178.40105534, 1033901.66152505, 1033412.98230567, 
1032781.24850133, 1031345.03505384, 1030624.00822677, 1030498.48800166, 1029183.20827932, 1029181.62847378, 1029180.41162817, 1029159.19203693, 1029080.19375815, 1029095.49971095))),20094308.342255,0,0,3629.42770276466,0,FALSE,257.508982035928,83.235938641344,90.313
"27123040709","Census Tract 407.09; Ramsey County; Minnesota",125682,3377,44.6,370000,2.4,1388,0.679597275688481,0.239561741190406,0.00325732899022801,0.0775836541308854,0,0,0.207223208999408,0.0224985198342214,0.106571936056838,0.0224985198342214,0.0213143872113677,0.104203670811131,0.164594434576673,0.256956779159266,0.019538188277087,0.0378922439313203,0.0367081113084665,0.845821325648415,0.154178674351585,0.815220610008884,0.00888362451880367,0.000592241634586911,0.11400651465798,0,0.0124370743263251,0.0488599348534202,list(list(c(2845007.67305065, 2848959.23361824, 2848976.28213545, 2851369.01025134, 2852211.20932267, 2852151.72037087, 2853406.06382529, 2852718.190735, 2855462.83042909, 2855562.84169638, 2855566.48429449, 2855461.86961455, 2855239.0755274, 2849111.74428857, 2849204.36168001, 2849123.24135722, 2845039.48591013, 2845007.67305065, 1081912.40616777, 1081973.69137278, 1081974.23705353, 1082195.22119859, 1085041.02122246, 1085310.92865044, 1085309.89394151, 1087330.47565322, 1087274.61200497, 1082049.22958837, 
1081054.22197944, 1081310.50002647, 1080793.9530246, 1080655.39247095, 1079259.88961713, 1078795.23367278, 1080027.29999406, 1081912.40616777))),35917443.9231734,0,41441.1829679204,0,2,TRUE,281.73220338983,81.5220610008884,125.682
"27123033600","Census Tract 336; Ramsey County; Minnesota",29034,2091,23.3,314300,2.54,816,0.538976566236251,0.104256336681014,0.00717360114777618,0.349593495934959,0.0157068062827225,0.0261780104712042,0.0732984293193717,0,0.136125654450262,0.0981675392670157,0.00916230366492147,0.0235602094240838,0.0235602094240838,0.146596858638743,0.159685863874346,0.0615183246073298,0.226439790575916,0.196078431372549,0.803921568627451,0.0358680057388809,0.845050215208034,0.000478240076518412,0.0779531324725012,0,0.00286944045911047,0.0377809660449546,list(list(c(2850824.27022253, 2852146.93991839, 2853469.6077681, 2853486.06609701, 2853490.44184956, 2853499.0067782, 2852840.43689329, 2852832.56520516, 2852172.47775236, 2852167.65611975, 2850848.28598581, 2850843.71455095, 2850824.27022253, 1042236.24907242, 1042258.08408982, 1042280.00178636, 1040829.77662668, 1040425.11147717, 1039656.98000518, 1039646.22289934, 1040304.2509545, 1040292.03963352, 1040644.19674287, 1040619.1153416, 1040925.69961301, 1042236.24907242))),5165057.79917002,0,5444.18633624232,0,3,TRUE,272.583333333333,3.58680057388809,29.034
"27123040901","Census Tract 409.01; Ramsey County; Minnesota",85221,2081,42.6,274000,2.52,818,0.679961556943777,0.208073041806824,0.0134550696780394,0.0985103315713599,0,0.092964824120603,0.120603015075377,0.0703517587939698,0.0971524288107203,0.0661641541038526,0.0100502512562814,0.0452261306532663,0.118090452261307,0.270519262981575,0.0276381909547739,0.0527638190954774,0.0284757118927973,0.954767726161369,0.0452322738386308,0.725612686208554,0.0384430562229697,0.00961076405574243,0.142719846227775,0,0.0129745314752523,0.0706391158097069,list(list(c(2827645.09286577, 2829952.47064888, 2831462.41436157, 2834072.97344458, 2834112.04389679, 2834182.51332465, 2834252.45893937, 2834180.18337329, 2831532.67117545, 2828896.9528165, 2828842.41872182, 2828815.35896161, 2828653.35939098, 2827645.09286577, 1103523.28684507, 1103528.10949454, 1103540.302881, 1103558.03019667, 1101572.31359873, 1101573.01321054, 1097571.24700888, 1097569.07087865, 1097584.15584738, 1097555.56788193, 1100202.92023663, 1101505.45295863, 1102667.76109936, 1103523.28684507
))),32493584.6800358,0,56054.1197248712,0,2,TRUE,275.739463601533,72.5612686208554,85.221
"27123034900","Census Tract 349; Ramsey County; Minnesota",100333,4073,21.6,507900,2.65,1030,0.589491775104346,0.358703658237172,0.0142401178492512,0.0375644488092315,0.00604686318972033,0.0230536659108088,0.0839002267573696,0.017384731670446,0.0952380952380952,0.0495086923658352,0.00680272108843537,0.0283446712018141,0.123204837490552,0.40400604686319,0.111866969009826,0.0241874527588813,0.0264550264550265,0.581553398058252,0.418446601941748,0.831328259268353,0.0292167935182912,0.00294623127915541,0.0294623127915541,0,0.015222194942303,0.0918242082003437,list(list(c(2833760.98172589, 2833752.5320745, 2833749.49806012, 2835064.11494574, 2836263.39798842, 2836279.21517152, 2836396.81663737, 2836420.62801768, 2835104.28618714, 2833781.58600749, 2833760.98172589, 1036816.68356877, 1038589.29236352, 1038975.01108342, 1038993.50899019, 1038997.44480815, 1036845.72227031, 1036841.79398248, 1034280.3439175, 1034275.60235836, 1034259.21262829, 1036816.68356877))),12179918.8786197,1,1539.26576417913,1877.96062209732,0,FALSE,269.892156862745,83.1328259268353,100.333
"27123040101","Census Tract 401.01; Ramsey County; Minnesota",131875,2516,42.1,349800,2.72,920,0.794117647058823,0.197138314785374,0,0.00874403815580286,0,0.0330123796423659,0.136176066024759,0,0.1292984869326,0.0502063273727648,0,0.118294360385144,0.0983493810178817,0.314305364511692,0.0123796423658872,0.0543328748280605,0.0536451169188446,0.990217391304348,0.00978260869565217,0.903815580286168,0.0162957074721781,0.010731319554849,0,0,0,0.0691573926868044,list(list(c(2868125.56605845, 2868479.2098801, 2870396.41966495, 2876401.47796625, 2876228.47673266, 2876222.93561527, 2875713.20145265, 2875629.86672319, 2875923.36660545, 2875860.88180654, 2876006.07650858, 2876505.94273222, 2877216.25932247, 2876762.61025898, 2876286.67965167, 2873643.96468379, 2873669.29686628, 2873671.66685034, 2871456.84347905, 2871140.3537637, 2871089.74037171, 2870999.60996328, 2869891.1913181, 2869341.5024735, 2868432.42690144, 2868431.57086713, 2868226.4077172, 2868125.56605845, 
1103790.04099123, 1103812.72094097, 1103810.53345306, 1103833.19805187, 1103447.54199626, 1102613.19907578, 1101908.8593369, 1100602.12537383, 1100064.14189087, 1099348.72278782, 1097888.65061195, 1096463.07466941, 1095066.28212537, 1094388.48383762, 1094169.13274588, 1094145.08748567, 1092282.14023589, 1092125.01393348, 1091556.07577643, 1091475.07744027, 1091474.12193824, 1091473.07002961, 1091259.62088757, 1090996.18155356, 1090426.69406495, 1090478.4609858, 1103305.88222944, 1103790.04099123))),90695355.6079018,0,50820.3643148285,0,2,TRUE,281.350828729282,90.3815580286169,131.875
"27123030201","Census Tract 302.01; Ramsey County; Minnesota",89375,5497,40.5,343500,2,2432,0.62743314535201,0.312716026923777,0.00509368746589049,0.0547571402583227,0,0.0919460767369513,0.0601451780159004,0.00518492913930176,0.128240580712064,0.0335292084341514,0.032492222606291,0.0767369512616661,0.126166609056343,0.291738679571379,0.05876253024542,0.0729346698928448,0.0221223643276875,0.678865131578947,0.321134868421053,0.857558668364563,0.04093141713662,0.00254684373294524,0.0200109150445698,0,0.0221939239585228,0.0567582317627797,list(list(c(2840217.31695092, 2840213.08207172, 2840216.71037011, 2842867.43328394, 2842869.89307187, 2844216.39679415, 2845479.87063435, 2845489.24011222, 2844897.99996588, 2843541.7888452, 2843419.46273242, 2842864.71651706, 2842862.27455412, 2842863.73229222, 2840347.03127052, 2840244.92094804, 2840215.3448878, 2840217.31695092, 1051250.51797982, 1052630.87723672, 1053950.4288375, 1054006.78118296, 1055323.04299611, 1055362.50259128, 1055399.72236208, 1053759.08032108, 1054058.45696376, 1054023.95889601, 
1052692.60285192, 1052690.1536636, 1051271.44047234, 1049399.1984482, 1049162.64482572, 1048643.49863952, 1049996.61558989, 1051250.51797982))),16840354.9529476,0,12196.1107494291,7968.14918155108,0,FALSE,285.046875,85.7558668364562,89.375
"27123033700","Census Tract 337; Ramsey County; Minnesota",22500,1535,36.4,225000,2.01,694,0.507491856677524,0.179153094462541,0,0.313355048859935,0.0897196261682243,0,0.0878504672897196,0.0336448598130841,0.0691588785046729,0.0542056074766355,0.00747663551401869,0,0.121495327102804,0.28411214953271,0.226168224299065,0.0261682242990654,0,0.0172910662824208,0.982708933717579,0.227361563517915,0.5185667752443,0,0.162214983713355,0,0.0677524429967427,0.0241042345276873,list(list(c(2853469.6077681, 2854903.83624108, 2855228.9380315, 2856101.48544461, 2856244.93044467, 2855776.25393166, 2855179.40789702, 2853490.44184956, 2853486.06609701, 2853469.6077681, 1042280.00178636, 1042303.58038837, 1042308.94336014, 1042323.20886013, 1040736.1872651, 1039888.09404191, 1040320.2052805, 1040425.11147717, 1040829.77662668, 1042280.00178636))),5410837.58086586,1,3945.48590852245,0,3,TRUE,261.53488372093,22.7361563517915,22.5
"27123041800","Census Tract 418; Ramsey County; Minnesota",80476,3749,38.5,324400,2.34,1600,0.595358762336623,0.211789810616164,0.00746865830888237,0.18538276873833,0.00448207171314741,0.0348605577689243,0.164840637450199,0.0179282868525896,0.110059760956175,0.0214143426294821,0,0.0383466135458167,0.126494023904382,0.314741035856574,0.0647410358565737,0.0542828685258964,0.047808764940239,0.6575,0.3425,0.649239797279274,0.122432648706322,0.00133368898372899,0.112029874633236,0,0.0442784742598026,0.0706855161376367,list(list(c(2840264.00040419, 2842777.47171632, 2845397.32655604, 2845398.15973614, 2845437.81172501, 2845473.51914834, 2845479.87063435, 2844216.39679415, 2842869.89307187, 2842836.91762017, 2840861.58622157, 2840272.45392497, 2840264.00040419, 1062049.24304541, 1062099.09084597, 1062140.50361875, 1062110.24957769, 1060666.07447991, 1058039.42925798, 1055399.72236208, 1055362.50259128, 1055323.04299611, 1057967.21236664, 1057913.74299547, 1057897.51831401, 1062049.24304541))),28299557.7358427,0,18849.3451782602,5469.88181789667,0,FALSE,288.044247787611,64.9239797279274,80.476
"27123037601","Census Tract 376.01; Ramsey County; Minnesota",80950,4192,42.9,377500,2.05,2026,0.665553435114504,0.252385496183206,0.00262404580152672,0.0794370229007634,0,0.0594594594594595,0.0617117117117117,0.0243243243243243,0.0779279279279279,0.0801801801801802,0.0216216216216216,0.101801801801802,0.142792792792793,0.23963963963964,0.129279279279279,0.022972972972973,0.0382882882882883,0.469397828232971,0.530602171767029,0.820610687022901,0.0353053435114504,0.0124045801526718,0.0326812977099237,0,0.0109732824427481,0.0880248091603053,list(list(c(2831582.35671514, 2832271.64748449, 2833062.37364969, 2835165.05276415, 2835170.63636288, 2835815.36794524, 2836316.72923359, 2837575.01991168, 2837850.65522997, 2839168.57503076, 2839183.59585334, 2837668.37781486, 2837279.11969923, 2836765.43236261, 2835243.54120329, 2834457.10055324, 2834370.03905956, 2833960.16092259, 2833482.81904569, 2832258.04035336, 2831829.10539845, 2831582.35671514, 1028215.51747344, 1028246.69276563, 1028262.84629628, 1028293.49000329, 1027653.6748082, 1026335.50788732, 
1025319.6380253, 1023396.96527045, 1023325.7247047, 1023344.50094734, 1022168.46059038, 1020993.01974642, 1020479.40238594, 1019682.7131732, 1019981.44638075, 1021018.94032386, 1022195.72532429, 1023343.43267365, 1023717.17253921, 1024560.84089776, 1025236.24976712, 1028215.51747344))),33278812.5788875,0,0,7664.21803585575,0,FALSE,239.87037037037,82.0610687022901,80.95
"27123042402","Census Tract 424.02; Ramsey County; Minnesota",86389,5976,41.4,284300,2.43,2264,0.601572958500669,0.231258366800535,0.0266064257028112,0.140562248995984,0,0.0456065673456978,0.145028884159319,0.0179385831559745,0.138948008513226,0.0276679841897233,0.00456065673456978,0.0623289753724536,0.0866524779568258,0.273943447856491,0.160535117056856,0.0136819702037093,0.0231073274551535,0.722614840989399,0.277385159010601,0.58115796519411,0.0967202141900937,0.0500334672021419,0.140394912985274,0.00435073627844712,0.0483601070950469,0.0789825970548862,list(list(c(2874108.90677711, 2877673.11584842, 2878407.83505531, 2879377.9153598, 2879269.57548365, 2879407.1429319, 2879150.55099361, 2879424.991963, 2879442.90204665, 2880094.72330337, 2882052.10569819, 2883881.8939064, 2884026.76728086, 2884679.33953689, 2884666.45573902, 2887292.16909988, 2887326.57873879, 2887345.38866159, 2886786.17748367, 2882288.45464712, 2882099.0705449, 2882098.10458001, 2882058.8848706, 2879477.50379441, 2876844.38783567, 2874633.75583094, 2874889.98167978, 2874884.73553345, 
2874598.79153813, 2874163.43053635, 2874129.9869957, 2874108.90677711, 1062929.05880159, 1062958.65593979, 1062964.91008156, 1063035.64487831, 1062582.21339288, 1061039.3501419, 1060050.69947761, 1060051.81700838, 1058393.75541054, 1058422.76761333, 1058457.80801037, 1058518.44668638, 1057210.51782781, 1057223.27238669, 1058544.48771018, 1058631.63203437, 1055986.39237121, 1054284.59322489, 1054080.39688027, 1051839.62287947, 1051751.26776415, 1051851.88973554, 1055818.06566039, 1055779.87459114, 
1055740.65244906, 1055724.61431478, 1056154.60868827, 1056641.67224375, 1058354.17010427, 1058352.30982155, 1060989.18218672, 1062929.05880159))),71080602.9728503,0,18384.2633262967,4647.7941876567,0,FALSE,296.072310405644,58.115796519411,86.389
"27123031600","Census Tract 316; Ramsey County; Minnesota",58022,4147,28.9,218500,2.96,1400,0.511695201350374,0.132867132867133,0.0238726790450928,0.331564986737401,0.0141093474426808,0.0399764844209289,0.157554379776602,0.00940623162845385,0.109935332157554,0.0388007054673721,0.00587889476778366,0.0646678424456202,0.122868900646678,0.172251616696061,0.188124632569077,0.0534979423868313,0.0229276895943563,0.534285714285714,0.465714285714286,0.248613455510007,0.17530745116952,0,0.41234627441524,0,0.0906679527369183,0.0730648661683144,list(list(c(2866394.91503253, 2866379.96371889, 2869010.06599246, 2871689.04550167, 2871570.9464676, 2871293.62353301, 2870117.77970531, 2869028.54832424, 2869028.50428231, 2867717.49885456, 2867358.50884295, 2866386.86447747, 2866394.91503253, 1047730.60797037, 1049039.02499555, 1049074.34733238, 1049112.75515713, 1048565.55233782, 1048066.44534498, 1046953.46646436, 1046533.22184068, 1046514.62618951, 1046153.50839005, 1046083.75727894, 1046011.37872407, 1047730.60797037))),12208792.1586671,0,6435.67414264274,0,1,TRUE,267.18,24.8613455510007,58.022
"27123042202","Census Tract 422.02; Ramsey County; Minnesota",83938,5546,35.5,293300,2.64,2069,0.659935088351965,0.142625315542733,0.0102776776054814,0.18716191849982,0.00298730395817774,0.0365944734876774,0.123973114264376,0.0153099327856609,0.114637789395071,0.0870052277819268,0.0041075429424944,0.138536221060493,0.125466766243465,0.229275578790142,0.0358476474981329,0.0399551904406273,0.046303211351755,0.622039632672789,0.377960367327211,0.504147133068878,0.106923909123693,0.00576992426974396,0.256581319870177,0,0.00775333573746845,0.11882437793004,list(list(c(2860059.52658191, 2860487.51066888, 2860909.76782822, 2862771.45265905, 2863541.50925659, 2865391.88574328, 2866176.27508027, 2867303.86911625, 2869033.91523167, 2868441.46256872, 2867857.18042675, 2866695.87573957, 2866392.91949325, 2866304.70349669, 2866251.26464496, 2866269.7460932, 2864312.26269253, 2863654.88802307, 2862541.95128903, 2860249.89572504, 2860150.90651819, 2860093.4613851, 2860059.52658191, 1062393.48450496, 1062422.68370045, 1062408.80308732, 1062042.83425467, 1062036.9371178, 
1062103.50383378, 1062405.23652378, 1062841.10298166, 1062884.36700996, 1061598.45481168, 1060360.4200753, 1058678.25331267, 1058205.89388994, 1057911.73599799, 1056588.67190731, 1055627.76265558, 1055579.23617914, 1055575.07803004, 1055543.20480425, 1055497.4919588, 1058136.546843, 1060762.94472429, 1062393.48450496))),47667739.0161734,0,15849.7046157383,0,3,TRUE,274.037234042553,50.4147133068878,83.938
"27123032000","Census Tract 320; Ramsey County; Minnesota",85068,2811,37.4,270000,2.26,1246,0.611526147278549,0.283884738527215,0.00533617929562433,0.0992529348986126,0,0.0447204968944099,0.0602484472049689,0.0149068322981366,0.0770186335403727,0.0285714285714286,0.0403726708074534,0.109316770186335,0.195652173913043,0.218012422360248,0.0714285714285714,0.0422360248447205,0.0975155279503106,0.723113964686998,0.276886035313002,0.856634649590893,0.0412664532194948,0,0.0184987548914977,0,0.00889363215937389,0.0747065101387407,list(list(c(2836300.95160807, 2838960.69092079, 2838946.39845885, 2839598.58063093, 2839635.38081704, 2838653.84530069, 2837993.47033765, 2837662.96653487, 2837630.28241281, 2836314.95647154, 2836300.95160807, 1046838.61912292, 1046936.12777609, 1044718.45601113, 1044399.47947149, 1042102.11769697, 1042087.06426058, 1042083.31305883, 1042151.44587458, 1044704.07347403, 1044688.32230552, 1046838.61912292))),10825734.4208388,0,6495.10445717284,1332.63404895717,0,FALSE,280.093023255814,85.6634649590893,85.068
"27123035500","Census Tract 355; Ramsey County; Minnesota",84856,2216,40.9,390000,1.64,1312,0.487364620938628,0.422382671480144,0.00496389891696751,0.0852888086642599,0,0.0356234096692112,0.108142493638677,0,0.0407124681933842,0.0286259541984733,0.032442748091603,0.178753180661578,0.163486005089059,0.246819338422392,0.071882951653944,0.0318066157760814,0.061704834605598,0.445884146341463,0.554115853658537,0.848375451263538,0.0351985559566787,0,0.0203068592057762,0,0.0108303249097473,0.0852888086642599,list(list(c(2850219.79914493, 2850877.91759199, 2852194.91882716, 2853512.11230395, 2854590.69728136, 2854638.33765053, 2854425.91138644, 2853532.62614578, 2852217.41376256, 2850243.23171518, 2850219.79914493, 1038906.05588357, 1038912.71570342, 1038927.19878021, 1038923.90024538, 1038933.40340625, 1038385.55450014, 1038347.15132042, 1037793.1169977, 1037774.19541121, 1037654.98299912, 1038906.05588357))),4763188.72552633,0,3739.50175727525,925.818087798297,0,FALSE,279.973684210526,84.8375451263538,84.856
"27123033900","Census Tract 339; Ramsey County; Minnesota",93594,1444,33.8,345400,2.32,615,0.556094182825485,0.28185595567867,0.0138504155124654,0.14819944598338,0.00960219478737997,0.0274348422496571,0.00411522633744856,0.0233196159122085,0.16323731138546,0.046639231824417,0.0246913580246914,0.0905349794238683,0.13443072702332,0.300411522633745,0.0589849108367627,0.0329218106995885,0.083676268861454,0.463414634146341,0.536585365853659,0.46398891966759,0.383656509695291,0.00484764542936288,0.0277008310249307,0,0,0.119806094182825,list(list(c(2849068.5184575, 2850853.26660694, 2850848.28598581, 2852167.65611975, 2852172.47775236, 2852189.13941234, 2852194.91882716, 2850877.91759199, 2850219.79914493, 2849089.95558605, 2849086.54201016, 2849082.00342722, 2849068.5184575, 1040258.16767986, 1040274.25197433, 1040619.1153416, 1040644.19674287, 1040292.03963352, 1039223.92519649, 1038927.19878021, 1038912.71570342, 1038906.05588357, 1038895.86725838, 1039193.34835587, 1039596.91756255, 1040258.16767986))),4688058.91274798,0,5977.29695816481,115.656300726805,0,FALSE,280.435897435897,46.398891966759,93.594
"27123042501","Census Tract 425.01; Ramsey County; Minnesota",74923,5914,40,266500,2.52,2336,0.648630368616841,0.16570848833277,0.00913087588772405,0.176530267162665,0.0117199873297434,0.0649350649350649,0.225530566993982,0.00886917960088692,0.0791891035793475,0.0332594235033259,0.020272410516313,0.0522648083623693,0.0909090909090909,0.236933797909408,0.0899588216661387,0.0554323725055432,0.0307253721887868,0.721746575342466,0.278253424657534,0.557659790328035,0.0358471423740277,0,0.111430503889077,0,0.213222861007778,0.0818397024010822,list(list(c(2882099.0705449, 2882288.45464712, 2886786.17748367, 2887345.38866159, 2887374.06306064, 2887384.39845587, 2887389.84280536, 2887447.90135824, 2887531.10719328, 2887534.0167311, 2885909.11141781, 2882249.08444377, 2882224.13347713, 2882190.94689959, 2882150.17433184, 2882099.0705449, 1051751.26776415, 1051839.62287947, 1054080.39688027, 1054284.59322489, 1052017.76404462, 1049935.57163993, 1048038.54663747, 1045406.38695312, 1040208.40091488, 1040036.70463682, 1040029.34420358, 1040638.95500664, 
1042965.23908847, 1045266.26930453, 1047276.25016597, 1051751.26776415))),67419041.3866701,0,12560.436627169,0,2,TRUE,301.801115241636,55.7659790328035,74.923
"27123041107","Census Tract 411.07; Ramsey County; Minnesota",66623,6155,32.4,323500,2.38,2582,0.627132412672624,0.210885458976442,0.00389926888708367,0.158082859463851,0.00471837216160425,0.0339132999115305,0.0996756119138897,0.0109112356237098,0.085520495429077,0.0816868180477735,0.0112061338838101,0.131524624004718,0.104393984075494,0.29961663226187,0.0607490415806547,0.0465939250958419,0.0294898260100265,0.484895429899303,0.515104570100697,0.608610885458976,0.204386677497969,0.00373679935012185,0.0854589764419171,0,0.0209585702680747,0.0768480909829407,list(list(c(2826683.40762565, 2829315.19009382, 2829652.43986474, 2830719.79294588, 2831549.49537682, 2834335.48005669, 2834311.94204636, 2834589.35584948, 2835897.29621709, 2835917.7182722, 2835938.39968291, 2834625.16046102, 2834652.17843911, 2833891.94567739, 2832019.14552241, 2829382.38648112, 2829349.16618018, 2826712.02348867, 2826683.40762565, 1076383.94165689, 1076451.2031686, 1076455.56675355, 1076518.09032919, 1076804.03520943, 1076849.36892838, 1076564.73611568, 1076556.18792414, 1076517.81482684, 
1075199.2089451, 1073880.6072912, 1073863.50544164, 1071248.76951062, 1071239.40529433, 1071216.93395342, 1071195.96417671, 1073824.49563388, 1073769.94330611, 1076383.94165689))),39275831.907227,0,29690.5288224868,0,1,TRUE,280.912225705329,60.8610885458976,66.623
