"GEOID","NAME","IncomeE","PopE","AgeE","HouseValueE","HouseholdSizeE","NumHouseE","BirthPlace_Born in state of res","BirthPlace_Born in other state","BirthPlace_Native; born outside","BirthPlace_Foreign born:","Industry_Agric","Industry_Const","Industry_Manuf","Industry_Whole","Industry_Retai","Industry_Trans","Industry_Infor","Industry_Finan","Industry_Profe","Industry_Educa","Industry_Arts,","Industry_Other","Industry_Publi","HouseType_Owner occupied","HouseType_Renter occupied","Race_White alone","Race_Black or African American","Race_American Indian and Alaska","Race_Asian alone","Race_Native Hawaiian and Other","Race_Some other race alone","Race_Two or more races:","geometry","AREA","NumColleges","DistToRiver","MinDistToHwy","NumHwys","AnyHwys","avg_elevation","pctWhite","incomeThousands"
"27123040302","Census Tract 403.02; Ramsey County; Minnesota",72368,4907,41.6,339400,2.4,2030,0.765029549622988,0.173221927858162,0.00244548604035052,0.0593030364785001,0.0154424040066778,0.0784641068447412,0.110183639398998,0.0258764607679466,0.104757929883139,0.113105175292154,0,0.1110183639399,0.0479966611018364,0.279215358931553,0.0530050083472454,0.0454924874791319,0.0154424040066778,0.709852216748769,0.290147783251232,0.881597717546362,0.00122274302017526,0,0.0535969023843489,0,0,0.0635826370491135,list(list(c(2875882.72282696, 2876592.46990724, 2879060.58436797, 2881704.08956255, 2883993.33843222, 2884785.71652867, 2886151.92184453, 2886970.7923584, 2887003.84014207, 2887012.44245396, 2887030.12148958, 2887038.82193723, 2887044.68590385, 2885421.06626276, 2884416.36925247, 2884378.22498385, 2882235.18410977, 2881744.76756032, 2879535.48661537, 2879102.88034849, 2876203.63314529, 2875749.92986394, 2875882.72282696, 1080276.09195457, 1082281.95451126, 1082294.40246412, 1082312.55435656, 1082350.74954099, 
1082362.68180215, 1082381.74070773, 1082403.5632778, 1080575.00980817, 1079799.19351869, 1078459.05098469, 1077883.41643018, 1077119.96533573, 1077092.56918658, 1077073.99293214, 1079713.76893611, 1079678.7764419, 1079670.97875496, 1079663.89478875, 1079662.69007005, 1079716.56833413, 1080011.98424832, 1080276.09195457))),35416021.9932375,0,41514.3904039932,0,1,TRUE,293.96928327645,88.1597717546362,72.368
"27123041601","Census Tract 416.01; Ramsey County; Minnesota",89453,6188,40,351600,2.33,2627,0.675662572721396,0.187944408532644,0.0096961861667744,0.126696832579186,0,0.0512987012987013,0.157792207792208,0.00649350649350649,0.0899350649350649,0.0873376623376623,0.013961038961039,0.0383116883116883,0.141558441558442,0.339285714285714,0.0340909090909091,0.0136363636363636,0.0262987012987013,0.705367339170156,0.294632660829844,0.685197155785391,0.0908209437621202,0.00323206205559147,0.0846800258564964,0,0.00371687136393019,0.132352941176471,list(list(c(2850548.4582662, 2853081.12595853, 2854013.34081949, 2854723.10120395, 2855717.31855711, 2855745.01558733, 2855808.6411725, 2855863.34651155, 2855917.81463351, 2854379.89826998, 2851778.60528711, 2850655.15473893, 2850628.86253933, 2850585.65976678, 2850548.4582662, 1068307.6589922, 1070866.40427007, 1071253.5144249, 1071506.25197927, 1071513.81837518, 1069950.28278679, 1066000.0085478, 1063362.62400369, 1061244.0873286, 1061240.44646784, 1061867.91379409, 1061906.55522369, 1063253.15245447, 
1065915.82463657, 1068307.6589922))),46693657.200551,0,22937.2103493169,2535.7474695177,0,FALSE,283.452879581152,68.5197155785391,89.453
"27123030601","Census Tract 306.01; Ramsey County; Minnesota",41646,5717,28.2,210900,3.15,1816,0.487493440615708,0.149903795697044,0.00349833828931258,0.359104425397936,0,0.00628322861285645,0.201546640889319,0.00869985500241663,0.0642822619623006,0.0720154664088932,0.0164330594490092,0.0821652972450459,0.0787820202996617,0.295311744804253,0.0492991783470276,0.101981633639439,0.0231996133397777,0.414647577092511,0.585352422907489,0.15287738324296,0.125065593842925,0.0209900297358755,0.651740423298933,0,0.0234388665383943,0.0258877033409131,list(list(c(2860249.89572504, 2862541.95128903, 2863654.88802307, 2863701.92188576, 2863724.801355, 2862430.18673825, 2861791.56187437, 2860456.3078549, 2860351.5504326, 2860249.89572504, 1055497.4919588, 1055543.20480425, 1055575.07803004, 1052924.51503364, 1051609.98470581, 1050686.41661438, 1050242.80858371, 1050140.73971191, 1052853.0040623, 1055497.4919588))),16471175.9631653,0,10772.081969724,0,2,TRUE,260.092307692308,15.287738324296,41.646
"27123034602","Census Tract 346.02; Ramsey County; Minnesota",75583,4514,29.1,235900,3.34,1345,0.579530350022153,0.133362871067789,0.00465219317678334,0.282454585733274,0.0188679245283019,0.0697674418604651,0.25976305397104,0.0609916630100921,0.123738481790259,0.0482667836770513,0.0122860903905222,0.0522158841597192,0.0372970601140851,0.161035541904344,0.073716542343133,0.0552874067573497,0.0267661254936376,0.719702602230483,0.280297397769517,0.245237040319008,0.191182986264953,0,0.321887461231724,0.00199379707576429,0.127381479840496,0.112317235268055,list(list(c(2871607.81770925, 2873250.52521956, 2874307.01793697, 2875625.77171273, 2875669.90537898, 2875686.74259642, 2875614.39855698, 2874568.97924622, 2874595.21393733, 2873067.917046, 2873051.18983584, 2872897.93659848, 2872779.87312162, 2871738.59955507, 2871724.04697629, 2871630.34822663, 2871607.81770925, 1045162.70130844, 1045183.76188289, 1045196.93094965, 1045206.69908366, 1042904.7031394, 1041441.7206632, 1041079.89842355, 1041273.53116312, 1039972.91301755, 1039945.08579196, 1041017.20602098, 
1041412.83228087, 1041854.81315611, 1041876.53792465, 1042856.80387465, 1042855.34542174, 1045162.70130844))),17092559.855679,0,4268.21002664664,0,4,TRUE,267.173611111111,24.5237040319008,75.583
"27123042503","Census Tract 425.03; Ramsey County; Minnesota",122689,2824,43,368700,2.75,1015,0.664305949008499,0.178824362606232,0.0084985835694051,0.148371104815864,0.0045662100456621,0.0691454664057404,0.149380300065232,0.0163078930202218,0.108284409654273,0.0424005218525766,0.00326157860404436,0.0769732550554468,0.0919765166340509,0.314416177429876,0.0287018917155903,0.0443574690150033,0.0502283105022831,0.978325123152709,0.0216748768472906,0.689093484419263,0.143413597733711,0,0.132790368271955,0,0.00460339943342776,0.0300991501416431,list(list(c(2882445.03968945, 2887721.85621958, 2887765.94974236, 2887768.64312058, 2887894.82992127, 2887916.61924705, 2882673.90111505, 2882696.18274061, 2882528.29231045, 2882445.03968945, 1029371.61986727, 1029482.09988006, 1026913.25017929, 1026654.77637353, 1020378.53575998, 1019000.5951958, 1018918.9536395, 1019217.47185567, 1026747.09447107, 1029371.61986727))),54821726.0883732,0,3327.86514371713,0,1,TRUE,288.637413394919,68.9093484419263,122.689
"27123040804","Census Tract 408.04; Ramsey County; Minnesota",149808,2042,53.8,449300,2.61,692,0.707639569049951,0.216454456415279,0.0200783545543585,0.0558276199804114,0,0.0113250283125708,0.101925254813137,0.014722536806342,0.206115515288788,0.0237825594563986,0.00566251415628539,0.0951302378255946,0.0939977349943375,0.271800679501699,0.0838052095130238,0.0600226500566251,0.0317100792751982,0.761560693641618,0.238439306358382,0.904995102840353,0.0288932419196866,0,0.0215475024485798,0,0.0019588638589618,0.0426052889324192,list(list(c(2837253.33939108, 2837534.5299001, 2837426.50468053, 2837709.41051103, 2838903.57999142, 2840491.1688463, 2842561.69750877, 2842539.64291374, 2842388.1671993, 2842137.45326561, 2842703.7947785, 2845039.48591013, 2845136.11426342, 2845144.5382952, 2845166.00467441, 2845154.22357968, 2844884.27421173, 2842244.87847696, 2841027.64718658, 2837291.24753094, 2837253.33939108, 1073780.03760744, 1074298.43295995, 1075425.46135896, 1075847.9837194, 1075768.17701909, 1076572.6343865, 1076599.35850686, 
1077559.89394703, 1079868.90659651, 1080751.61373391, 1080535.76536268, 1080027.29999406, 1074506.92183111, 1073996.91281128, 1072633.47646592, 1071359.39004708, 1071363.86724884, 1071322.66949397, 1071305.79550505, 1071271.51401057, 1073780.03760744))),48917284.322607,1,30703.1432599102,0,2,TRUE,275.59595959596,90.4995102840353,149.808
